client_num;customer_age;gender;dependent_count;education_level;marital_status;state_cd;zipcode;car_owner;house_owner;personal_loan;contact;customer_job;income;cust_satisfaction_score;card_category;annual_fees;activation_30_days;customer_acq_cost;week_start_date;week_num;qtr;current_year;credit_limit;total_revolving_bal;total_trans_amt;total_trans_vol;avg_utilization_ratio;use_chip;exp_type;interest_earned;delinquent_acc
717904383;47;F;2;Graduate;Married;TX;91750;no;yes;no;cellular;Selfemployeed;14975;1;Blue;485;0;113;25-06-2023;Week-26;Q2;2023;18693;2052;1516;44;0.11;Swipe ;Bills;303.2;0
717906783;48;F;2;Graduate;Married;NY;91750;yes;yes;no;cellular;Selfemployeed;11636;3;Blue;455;1;113;25-06-2023;Week-26;Q2;2023;5207;1748;1310;26;0.336;Swipe ;Travel;327.5;0
717908208;39;M;3;Graduate;Unknown;CA;91750;no;no;no;cellular;White-collar;81827;1;Blue;445;1;125;25-06-2023;Week-26;Q2;2023;2525;1595;4859;82;0.632;Swipe ;Entertainment;1166.16;0
717912483;47;F;4;Graduate;Married;CA;91750;no;yes;no;cellular;Selfemployeed;12753;3;Blue;435;1;53;25-06-2023;Week-26;Q2;2023;27259;0;1376;35;0;Swipe ;Bills;357.76;0
717914808;49;F;1;Graduate;Single;CA;91750;no;yes;no;cellular;Govt;48601;3;Blue;175;0;95;25-06-2023;Week-26;Q2;2023;4465;703;4044;66;0.157;Swipe ;Entertainment;647.04;0
717915783;56;F;1;Unknown;Married;TX;91750;no;no;yes;unknown;Govt;32814;2;Blue;250;0;89;25-06-2023;Week-26;Q2;2023;4541;1037;2829;44;0.228;Swipe ;Grocery;169.74;0
717916758;40;F;4;Graduate;Single;NJ;91750;yes;yes;no;cellular;Blue-collar;12517;3;Blue;325;1;92;25-06-2023;Week-26;Q2;2023;10509;2388;1365;34;0.227;Swipe ;Grocery;218.4;0
717920583;62;M;0;Uneducated;Single;WA;91750;no;yes;no;telephone;Blue-collar;73603;3;Blue;245;1;49;25-06-2023;Week-26;Q2;2023;1443;0;4673;59;0;Chip ;Food;841.14;0
717924933;48;M;2;High School;Married;FL;91750;no;no;no;cellular;Businessman;87284;3;Blue;200;0;133;25-06-2023;Week-26;Q2;2023;3745;1291;4956;88;0.345;Swipe ;Fuel;1288.56;0
717926358;50;M;3;Uneducated;Single;FL;91750;no;no;no;cellular;Blue-collar;113379;1;Blue;225;1;110;25-06-2023;Week-26;Q2;2023;5494;2142;8328;78;0.39;Swipe ;Food;2415.12;0
717928308;45;F;3;High School;Married;CA;90036;yes;no;no;cellular;Businessman;223135;2;Silver;270;1;91;25-06-2023;Week-26;Q2;2023;13669;1774;15772;130;0.13;Chip ;Travel;3785.28;0
717929133;41;F;5;Graduate;Married;CA;91750;yes;yes;yes;cellular;Blue-collar;10513;1;Blue;125;1;169;25-06-2023;Week-26;Q2;2023;14450;2440;1235;30;0.169;Swipe ;Bills;74.1;0
717930483;44;F;3;Graduate;Single;TX;91750;no;yes;no;cellular;Selfemployeed;14975;1;Blue;420;1;85;25-06-2023;Week-26;Q2;2023;5616;0;1564;31;0;Swipe ;Fuel;375.36;0
717940008;54;F;3;Graduate;Married;NY;91750;yes;yes;no;cellular;Blue-collar;35614;1;Blue;95;0;72;25-06-2023;Week-26;Q2;2023;3251;1887;3228;67;0.58;Swipe ;Fuel;451.92;0
717942033;41;F;3;Doctorate;Single;TX;91750;yes;yes;no;cellular;Businessman;171346;3;Blue;455;0;73;25-06-2023;Week-26;Q2;2023;33552;1252;14490;98;0.037;Swipe ;Food;4057.2;0
717945108;39;M;3;Graduate;Single;NJ;91750;no;yes;no;cellular;Businessman;92824;1;Blue;280;1;93;02-07-2023;Week-27;Q3;2023;3088;1477;5095;77;0.478;Swipe ;Entertainment;1273.75;0
717947508;45;M;5;Graduate;Single;NY;91750;no;yes;no;cellular;White-collar;97077;3;Blue;320;0;93;02-07-2023;Week-27;Q3;2023;1626;1013;5262;83;0.623;Swipe ;Bills;1157.64;0
717949008;50;F;5;Graduate;Married;TX;91750;yes;yes;no;cellular;Retirees;25906;1;Blue;300;0;86;02-07-2023;Week-27;Q3;2023;1554;412;2341;43;0.265;Chip ;Grocery;1087.28;0
717949983;35;F;1;Graduate;Married;CA;91750;yes;no;no;telephone;White-collar;38770;3;Blue;460;0;105;02-07-2023;Week-27;Q3;2023;8168;2137;3554;82;0.262;Chip ;Grocery;746.34;0
717953283;29;M;0;Post-Graduate;Single;NJ;91750;no;no;no;cellular;Retirees;59616;2;Blue;380;1;168;02-07-2023;Week-27;Q3;2023;2122;1189;4379;45;0.56;Swipe ;Grocery;1226.12;0
717954333;44;M;2;Graduate;Single;NY;91750;yes;yes;yes;cellular;Retirees;92818;3;Blue;410;0;87;02-07-2023;Week-27;Q3;2023;1781;935;5093;77;0.525;Swipe ;Fuel;1426.04;0
717956283;58;F;4;High School;Single;TX;91750;no;no;no;cellular;Selfemployeed;11158;2;Blue;275;1;105;02-07-2023;Week-27;Q3;2023;10953;1945;1277;29;0.178;Swipe ;Bills;114.93;0
717958833;53;F;3;Uneducated;Single;CA;91750;yes;no;no;cellular;Govt;17042;3;Blue;150;1;73;02-07-2023;Week-27;Q3;2023;1535;700;1848;25;0.456;Swipe ;Bills;110.88;0
717960033;43;F;3;Unknown;Single;TX;91750;no;yes;no;cellular;Blue-collar;49859;1;Blue;375;1;70;02-07-2023;Week-27;Q3;2023;2484;1495;4084;86;0.602;Swipe ;Grocery;408.4;0
717961458;52;F;1;Graduate;Single;CA;91750;no;yes;yes;cellular;Retirees;36975;1;Blue;470;1;118;02-07-2023;Week-27;Q3;2023;2934;2381;3396;64;0.812;Swipe ;Fuel;882.96;0
717965808;57;M;0;Uneducated;Married;TX;91750;no;yes;no;cellular;Retirees;100546;1;Blue;150;0;113;02-07-2023;Week-27;Q3;2023;9383;829;5783;73;0.088;Chip ;Fuel;809.62;0
717966933;51;M;3;Graduate;Single;CA;91750;no;no;no;cellular;Selfemployeed;90442;3;Blue;175;0;99;02-07-2023;Week-27;Q3;2023;2467;1446;5024;81;0.586;Swipe ;Fuel;1306.24;0
717967833;35;M;3;Graduate;Married;CA;91750;yes;no;no;unknown;Businessman;76924;3;Blue;360;1;64;02-07-2023;Week-27;Q3;2023;2677;1555;4757;81;0.581;Online ;Entertainment;951.4;0
717970158;41;F;5;High School;Single;CA;91750;no;no;no;cellular;Selfemployeed;45778;3;Blue;455;1;72;02-07-2023;Week-27;Q3;2023;8083;0;3942;84;0;Online ;Entertainment;823.62;0
717971208;47;F;2;Graduate;Married;TX;91750;yes;yes;no;cellular;Retirees;39847;3;Blue;395;1;104;02-07-2023;Week-27;Q3;2023;2077;0;3647;69;0;Swipe ;Fuel;729.4;0
717972408;38;F;3;Graduate;Single;TX;91750;yes;yes;no;cellular;Selfemployeed;42278;2;Blue;495;1;81;02-07-2023;Week-27;Q3;2023;2558;2016;3792;78;0.788;Chip ;Bills;265.44;0
717975333;45;F;2;Uneducated;Single;TX;91750;no;yes;no;unknown;Selfemployeed;2565;3;Blue;200;1;117;02-07-2023;Week-27;Q3;2023;25300;1330;837;15;0.053;Swipe ;Travel;217.62;0
717978033;41;F;4;Unknown;Married;NY;91750;no;yes;no;cellular;White-collar;32767;2;Blue;365;0;92;02-07-2023;Week-27;Q3;2023;5257;1572;2822;73;0.299;Swipe ;Fuel;282.2;0
717979008;42;M;3;Graduate;Married;TX;91750;no;yes;no;unknown;Govt;80116;2;Blue;125;1;70;02-07-2023;Week-27;Q3;2023;2105;1072;4833;81;0.509;Swipe ;Bills;338.31;0
717983058;54;F;3;Unknown;Married;NJ;91750;no;yes;no;cellular;White-collar;34450;3;Blue;150;0;108;02-07-2023;Week-27;Q3;2023;1982;1068;3058;58;0.539;Swipe ;Bills;458.7;0
717985158;36;M;3;Uneducated;Married;FL;91750;yes;no;no;cellular;Selfemployeed;55795;1;Blue;465;1;165;02-07-2023;Week-27;Q3;2023;2335;1373;4267;81;0.588;Swipe ;Food;682.72;0
717986058;43;F;4;Unknown;Married;TX;91750;yes;yes;yes;cellular;Govt;31737;3;Blue;420;1;72;02-07-2023;Week-27;Q3;2023;5240;1608;2712;64;0.307;Swipe ;Fuel;986.48;0
717987258;40;M;4;Doctorate;Married;NY;91750;no;yes;no;cellular;Retirees;65615;2;Blue;345;1;106;02-07-2023;Week-27;Q3;2023;2594;1686;4503;67;0.65;Chip ;Fuel;315.21;0
717990183;49;M;2;Unknown;Married;CA;91750;yes;no;no;cellular;Govt;93046;3;Blue;150;0;116;02-07-2023;Week-27;Q3;2023;7474;2444;5100;79;0.327;Swipe ;Bills;1071;0
717991533;50;M;1;Graduate;Single;CA;90025;yes;yes;no;unknown;Businessman;234359;2;Platinum;435;1;109;02-07-2023;Week-27;Q3;2023;3843;1460;16461;105;0.38;Chip ;Travel;1481.49;0
717992433;54;F;2;Graduate;Married;NY;91750;yes;yes;no;unknown;Businessman;179749;2;Blue;125;0;89;02-07-2023;Week-27;Q3;2023;11900;1796;14666;101;0.151;Chip ;Entertainment;2933.2;0
717994608;35;F;0;Unknown;Married;NY;91750;no;no;no;unknown;Businessman;21735;1;Blue;110;0;153;02-07-2023;Week-27;Q3;2023;7158;0;2113;60;0;Swipe ;Entertainment;422.6;0
717995958;46;M;3;Graduate;Married;FL;91750;yes;no;no;cellular;Blue-collar;60178;3;Blue;200;1;73;02-07-2023;Week-27;Q3;2023;1634;1463;4397;72;0.895;Chip ;Entertainment;527.64;0
717998058;57;M;2;Graduate;Single;CA;91750;no;no;no;cellular;White-collar;31136;1;Blue;285;1;106;02-07-2023;Week-27;Q3;2023;2585;2019;2644;40;0.781;Swipe ;Bills;449.48;0
717999183;46;F;4;High School;Married;CA;91750;yes;yes;no;unknown;Govt;24677;3;Blue;475;0;117;02-07-2023;Week-27;Q3;2023;4108;1659;2275;58;0.404;Swipe ;Grocery;659.75;0
718000383;45;M;4;Graduate;Single;FL;91750;yes;yes;no;cellular;White-collar;56087;3;Blue;125;1;67;02-07-2023;Week-27;Q3;2023;23566;1147;4274;64;0.049;Swipe ;Fuel;1111.24;0
718001508;59;F;0;Unknown;Single;NY;91750;no;no;no;cellular;Retirees;59555;3;Blue;470;0;94;02-07-2023;Week-27;Q3;2023;2890;2150;4377;84;0.744;Swipe ;Bills;962.94;0
718002633;41;M;4;Post-Graduate;Married;NY;91750;no;no;no;cellular;Selfemployeed;40086;1;Silver;415;1;92;02-07-2023;Week-27;Q3;2023;16002;2076;3667;52;0.13;Swipe ;Bills;330.03;0
718005108;41;F;3;Uneducated;Married;CA;91750;no;no;no;cellular;Selfemployeed;40495;3;Blue;340;1;132;02-07-2023;Week-27;Q3;2023;2096;1711;3692;68;0.816;Chip ;Fuel;959.92;0
718006608;47;M;2;Unknown;Single;NJ;91750;no;no;no;cellular;White-collar;117870;3;Blue;175;0;120;02-07-2023;Week-27;Q3;2023;7742;1163;9081;100;0.15;Swipe ;Food;1452.96;0
718009158;32;M;0;Graduate;Married;NJ;91750;no;no;no;unknown;Retirees;41890;3;Blue;125;1;75;02-07-2023;Week-27;Q3;2023;2563;1860;3774;83;0.726;Swipe ;Entertainment;717.06;0
718010133;61;F;1;Graduate;Unknown;TX;91750;no;yes;no;cellular;Businessman;40734;1;Blue;250;1;135;02-07-2023;Week-27;Q3;2023;2888;1641;3703;61;0.568;Swipe ;Bills;999.81;0
718011783;48;F;3;Graduate;Single;NY;91750;no;no;no;telephone;Selfemployeed;14975;1;Blue;495;1;118;02-07-2023;Week-27;Q3;2023;2205;1337;1591;38;0.606;Swipe ;Bills;350.02;0
718016808;26;M;0;Graduate;Single;NJ;91750;no;yes;no;cellular;Selfemployeed;14975;3;Blue;140;0;76;02-07-2023;Week-27;Q3;2023;2064;1282;1475;27;0.621;Swipe ;Grocery;513;0
718020408;52;M;2;High School;Single;NY;91750;yes;no;no;cellular;Selfemployeed;60117;3;Blue;300;0;112;02-07-2023;Week-27;Q3;2023;1977;545;4393;72;0.276;Swipe ;Grocery;658.95;0
718021608;41;M;2;Graduate;Single;TX;91750;yes;no;no;telephone;Businessman;73102;2;Blue;125;1;97;02-07-2023;Week-27;Q3;2023;1533;728;4659;83;0.475;Swipe ;Fuel;372.72;0
718023708;45;M;3;Uneducated;Single;TX;91750;no;yes;yes;unknown;Businessman;177518;3;Silver;300;0;87;02-07-2023;Week-27;Q3;2023;14839;2226;14625;115;0.15;Swipe ;Entertainment;877.5;0
718024908;55;M;3;Graduate;Married;CA;91750;no;yes;no;cellular;White-collar;101440;3;Blue;175;0;148;02-07-2023;Week-27;Q3;2023;2743;1705;6993;97;0.622;Swipe ;Fuel;909.09;0
718025808;46;F;1;Uneducated;Unknown;VA;91750;yes;no;no;cellular;Govt;40449;3;Blue;325;0;105;02-07-2023;Week-27;Q3;2023;5852;1935;3689;55;0.331;Chip ;Grocery;1069.81;0
718026858;41;M;4;Unknown;Married;NY;91750;no;no;yes;cellular;Businessman;76644;1;Blue;125;0;90;02-07-2023;Week-27;Q3;2023;2370;1490;4751;80;0.629;Swipe ;Entertainment;617.63;0
718030083;45;F;4;High School;Single;NY;91750;no;no;yes;cellular;Blue-collar;13842;1;Blue;300;0;56;02-07-2023;Week-27;Q3;2023;7871;1687;1428;22;0.214;Swipe ;Bills;214.2;0
718031508;42;M;4;High School;Single;NY;91750;no;no;no;cellular;Selfemployeed;95028;1;Blue;330;0;71;02-07-2023;Week-27;Q3;2023;1535;0;5168;76;0;Swipe ;Grocery;465.12;0
718032483;45;M;4;Graduate;Married;FL;91750;no;yes;no;telephone;White-collar;74229;3;Blue;125;1;103;02-07-2023;Week-27;Q3;2023;1438.3;611;4688;89;0.425;Swipe ;Grocery;1218.88;0
718034058;50;F;3;Graduate;Married;TX;91750;yes;no;yes;cellular;Blue-collar;55254;1;Blue;125;1;93;02-07-2023;Week-27;Q3;2023;8529;901;4252;68;0.106;Swipe ;Entertainment;722.84;0
718037433;58;F;2;Uneducated;Married;NY;91750;no;no;no;cellular;Retirees;17818;3;Blue;200;1;101;02-07-2023;Week-27;Q3;2023;1654;1253;1887;60;0.758;Swipe ;Bills;528.36;0
718038483;45;F;5;High School;Married;NY;91750;yes;yes;no;cellular;Selfemployeed;37527;3;Blue;150;0;92;02-07-2023;Week-27;Q3;2023;16054;0;3449;75;0;Swipe ;Food;793.27;0
718039683;50;F;3;Graduate;Married;CA;91750;no;no;no;unknown;Selfemployeed;14975;3;Blue;295;0;86;02-07-2023;Week-27;Q3;2023;13532;1300;1521;29;0.096;Swipe ;Bills;425.88;0
718041033;53;M;4;Graduate;Married;NY;91750;no;no;no;cellular;Businessman;98581;3;Blue;340;1;100;02-07-2023;Week-27;Q3;2023;2178;1455;5363;76;0.668;Chip ;Entertainment;482.67;0
718042383;45;F;4;Graduate;Married;CA;90026;no;no;no;cellular;Businessman;200481;3;Blue;490;0;109;02-07-2023;Week-27;Q3;2023;3523;1379;15108;118;0.391;Chip ;Bills;3777;0
718043583;34;F;1;Uneducated;Married;FL;91750;yes;yes;no;cellular;Businessman;201062;3;Blue;175;0;41;02-07-2023;Week-27;Q3;2023;21794;1368;15111;116;0.063;Chip ;Fuel;4079.97;0
718045008;43;M;1;Graduate;Single;NY;91750;no;no;no;cellular;Selfemployeed;101203;3;Blue;175;1;70;02-07-2023;Week-27;Q3;2023;3768;0;6639;71;0;Online ;Bills;1327.8;0
718046433;38;M;2;Graduate;Married;NJ;91750;yes;no;no;cellular;White-collar;102862;1;Blue;405;0;76;02-07-2023;Week-27;Q3;2023;2199;693;7342;86;0.315;Swipe ;Fuel;2129.18;0
718048608;57;M;1;Doctorate;Married;NY;91750;no;yes;no;cellular;Blue-collar;93905;2;Blue;125;1;84;02-07-2023;Week-27;Q3;2023;15292;1325;5120;74;0.087;Chip ;Bills;512;0
718050033;59;F;1;Graduate;Unknown;NY;91750;yes;no;no;cellular;Businessman;20414;3;Blue;395;1;97;02-07-2023;Week-27;Q3;2023;5657;1719;2028;55;0.304;Swipe ;Entertainment;405.6;0
718054833;39;F;2;Post-Graduate;Unknown;NY;91750;no;yes;no;cellular;Blue-collar;33536;2;Blue;300;1;152;02-07-2023;Week-27;Q3;2023;15341;1016;2916;65;0.066;Chip ;Grocery;729;0
718056033;42;F;4;Graduate;Married;NY;91750;yes;yes;no;cellular;Businessman;36466;3;Blue;295;1;65;02-07-2023;Week-27;Q3;2023;4135;1606;3334;56;0.388;Online ;Food;866.84;0
